#{"t_start": 1764870135.157609, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-578.039245,167,5.606588
-666.188238,65,6.664456
-289.469838,75,7.964329
-461.850138,77,9.058223
-581.151181,70,10.064124
-359.19441,86,11.314007
-689.688966,79,12.432895
-851.831104,83,13.721764
-629.641367,65,14.638677
-526.668438,67,15.633581
-511.104937,56,16.495497
-841.82129,82,17.736376
-514.530279,71,19.035246
-577.491034,65,20.098141
-456.326205,62,21.084075
-792.932996,77,22.312924
-379.547935,53,23.125842
-457.573615,54,23.98776
-563.314815,72,25.043686
-600.569025,67,26.035557
-445.951471,63,27.002506
-699.601425,79,28.470318
-616.366726,69,29.594212
-404.797175,54,30.522148
-196.701928,61,31.523072
-279.992512,75,32.730988
-464.319072,63,33.694923
-426.502648,56,34.623856
-406.885437,70,35.715779
-532.180344,71,36.790735
-422.119413,83,38.052615
-360.395154,52,38.835562
-305.486541,77,40.008477
-411.330088,79,41.182396
-422.856023,62,42.104331
-368.968934,76,43.218253
-294.346455,81,44.445169
-321.619229,60,45.352105
-378.504792,89,46.802003
-374.484405,76,47.934922
-368.845825,82,49.065848
-342.395923,73,50.24876
-370.228633,83,51.594694
-333.399444,57,52.486608
-347.672014,74,53.686521
-293.644969,86,55.026432
-327.145327,90,56.42333
-289.673944,76,57.535259
-337.259514,79,58.722166
-259.574815,82,59.997076
-244.455537,60,60.877017
-294.126311,69,61.89995
-301.451108,141,64.123788
-148.428835,252,68.048512
-229.781166,337,73.459175
-331.618218,195,76.568914
-249.87396,240,80.337656
-219.406621,253,84.436366
-123.84983,391,91.073903
-61.92115,228,95.304603
-192.045813,225,99.139335
-280.264728,145,101.560201
-294.98167,248,105.522932
-170.995129,184,108.348692
-397.732106,166,111.098497
-351.848093,324,116.653107
-301.078577,108,118.364987
-237.120102,129,120.370852
-272.55056,209,123.804634
-137.491448,198,126.945384
-255.644804,215,130.379144
-230.370722,197,133.75391
-165.147152,273,138.322586
-131.577178,366,144.023195
-201.088931,389,150.405741
-360.545739,311,155.415392
-111.441068,317,160.24505
-196.737604,216,163.679809
-429.890202,387,170.02137
-148.388862,139,172.199217
-426.353131,255,175.965952
-148.963331,1000,193.787698
-60.512987,201,197.313489
-130.954977,187,200.550223
-37.552518,207,205.007912
-84.204184,332,210.364537
-363.72876,798,224.757566
-374.482532,508,233.733942
-444.524554,552,244.055174
0.046525,1000,262.652872
131.829712,922,278.4948
-535.829989,572,288.76204
192.318328,905,305.0439
209.548591,821,321.338797
-118.946266,669,332.970947
-133.185172,557,342.652266
-343.183069,695,355.675356
194.805085,599,367.399531
-204.69424,328,373.714084
-224.43673,302,379.716665
-236.095548,246,384.297344
-250.673059,185,387.442124
-231.680923,122,389.471981
-383.738898,140,391.819818
-243.917292,137,394.141654
-81.129825,214,397.731403
-303.858879,115,399.762262
-412.397487,126,401.907114
-101.102257,216,405.942831
-398.446589,97,407.502721
-161.723557,142,409.958545
-141.796441,98,411.748425
-112.12518,337,418.15497
-105.375818,162,420.853782
-98.633079,152,423.434643
-345.932603,92,424.975494
-237.788546,52,425.959425
-356.155209,52,426.864361
-255.014617,80,428.216267
-93.626469,213,431.888048
-126.905793,101,433.677883
-373.17117,69,434.867798
-268.920642,74,436.098714
-420.016986,55,437.055647
-357.27108,72,438.491547
-305.277406,59,439.533471
-340.804485,57,440.44841
-401.126633,66,441.53733
-364.676388,63,442.546261
-395.570079,70,443.646185
-437.897285,63,444.715111
-344.261566,86,446.11401
-407.770704,51,446.937993
-493.088841,76,448.167867
-514.923735,79,449.535772
-388.35872,60,450.557698
-494.997271,94,452.26561
-505.124308,80,453.599495
-413.180525,65,454.706413
-573.656041,68,455.820329
-488.197502,79,457.124241
-111.951915,140,459.343082
-490.732891,85,460.739988
-449.47933,57,461.664923
-495.357219,79,462.927831
-147.399056,88,464.297739
-391.878101,89,465.852626
-512.066499,61,466.873556
-455.458205,59,467.93148
-483.158599,80,469.178397
-307.870421,84,470.506303
-419.095054,142,472.744187
-383.020194,85,474.115047
-564.341368,81,475.502954
-625.340931,75,476.809863
-435.515474,119,479.038706
-1025.861425,100,480.866574
-1153.633399,105,482.624453
-965.218689,99,484.44736
-485.383643,74,485.623243
-1022.288789,98,487.182132
-505.242904,95,488.739026
-537.577383,70,489.874945
-557.097723,92,491.372837
-508.931291,88,492.789742
-770.246584,98,494.372668
-486.478773,69,495.46455
-389.919555,89,497.096442
-548.200443,92,498.510336
-646.161745,102,500.261214
-525.402023,86,501.857102
-454.086658,81,503.142017
-617.389183,82,504.502921
-526.068932,94,506.096851
-503.390128,92,507.584742
-507.474784,88,508.975605
-465.074225,115,511.058458
-502.174981,86,512.667345
-495.030153,66,513.90026
-628.736804,82,515.532146
-661.223629,80,517.085036
-535.334227,66,518.246953
-517.490486,69,519.706853
-566.092357,82,521.281744
-645.958035,69,522.464657
-534.698505,75,523.787596
-599.382718,69,525.116475
-566.555344,79,526.62737
-465.629682,62,527.860281
-649.18829,63,529.120192
-488.036507,63,530.243112
-615.382571,76,531.702051
-936.299382,92,533.486929
-517.643142,74,534.889829
-593.752153,72,536.353684
-523.16296,68,537.517605
-613.722128,75,539.030497
-595.215146,69,540.306453
-459.516957,61,541.488326
-480.080877,73,542.793232
-517.716248,74,544.170142
-520.894202,68,545.34706
-401.067717,57,546.466976
-568.023969,73,547.797886
-562.809462,76,549.238819
-757.61431,76,550.685686
-544.98222,84,552.262609
-419.64802,84,553.85746
-750.055031,79,555.689335
-575.220303,71,557.469204
-637.238936,78,559.207091
-675.236002,91,560.902969
-547.317926,74,562.395862
-633.40464,74,563.677771
-464.003981,105,565.476645
-837.250394,112,567.31052
-510.514967,83,568.632452
-446.622503,105,570.418339
-692.68365,82,571.748206
-484.65123,69,573.383091
-487.871834,63,574.778995
-442.523686,71,576.490875
-507.90241,91,578.959698
-529.102986,81,580.704576
-913.247286,81,582.22651
-502.471849,58,583.2114
-508.451076,58,584.254326
-821.691636,72,585.523238
-634.70089,83,587.243121
-510.178129,58,588.26405
-579.488107,83,589.927929
-485.658659,94,591.65981
-542.649922,80,593.205705
-538.829653,71,594.707594
-551.55793,81,596.32448
-488.644287,74,597.813379
-701.569031,85,599.295273
-577.253195,80,600.788172
-688.731612,85,602.456051
-567.107483,67,603.649969
-588.903212,65,604.806887
-568.310084,64,605.954849
-896.559275,102,607.794676
-691.081979,72,609.323571
-555.141008,59,610.410493
-538.877426,85,611.920387
-556.703504,90,613.446319
-751.393326,78,614.886218
-956.325653,83,616.634068
-595.747878,75,618.160956
-721.71427,71,619.505857
-606.886184,69,620.889757
-902.800705,90,622.391653
-620.533702,85,623.928548
-476.417176,81,625.245492
-661.36302,68,626.49237
-601.408073,63,627.553332
-657.986271,89,629.072191
-767.800172,73,630.332096
-712.064435,68,631.465017
-518.765259,63,632.640935
-516.263682,58,633.60487
-495.648589,72,634.880817
-644.461631,66,636.039727
-412.518274,67,637.174618
-842.634991,81,638.594522
-565.669608,59,639.60945
-513.06227,81,640.981362
-526.773297,58,642.051274
-509.429758,88,643.488174
-619.147047,74,644.675093
-582.238299,66,645.876009
-923.263047,79,647.161917
-829.406406,77,648.493824
-630.852162,64,649.604785
-531.800116,80,651.067646
-594.993716,61,652.106609
-881.705068,99,653.809461
-611.306896,77,655.163359
-459.442506,72,656.512264
-675.744853,68,657.821173
-569.337332,78,659.272071
-729.817666,78,660.578982
-807.624451,79,662.068872
-865.221698,90,663.729792
-541.467217,80,665.079666
-539.145739,60,666.09259
-505.374231,65,667.304512
-625.262794,81,668.685408
-832.575165,85,670.17331
-815.824337,76,671.642242
-828.04465,74,672.892112
-977.363545,86,674.249023
-404.976551,78,675.584924
-780.584831,88,677.244813
-790.772141,84,678.684713
-776.202043,105,680.43259
-812.756612,105,682.233499
-730.768202,96,683.815347
-769.212243,86,685.418235
-662.96653,70,686.622152
-603.975802,114,688.533016
-807.67048,78,689.869927
-627.784617,67,691.036889
-839.796873,88,692.771719
-809.687422,87,694.431602
-663.4588,83,695.738514
-870.085549,85,697.311403
-761.415365,74,698.689347
-661.462938,101,700.32723
-1009.07203,84,701.961075
-612.691514,64,703.236987
-598.433985,72,704.717883
-529.376133,77,706.243778
-559.848145,88,707.885664
-908.60547,85,709.486548
-892.287695,84,711.034446
-575.619606,71,712.368351
-726.129504,71,713.984235
-538.471977,83,715.883138
-739.223335,75,717.295003
-898.229567,78,718.855904
-709.874042,81,720.315789
-628.941306,75,721.638737
-625.496839,78,723.313581
-664.565982,85,724.736483
-752.896079,123,726.942324
-749.250122,74,728.389225
-784.012409,71,729.752167
-407.550942,92,731.379052
-852.174483,75,732.846948
-674.519318,84,734.4558
-1060.941554,87,736.212679
-606.256375,86,738.070582
-825.251247,75,739.619439
-589.560511,77,741.46031
-425.696213,73,743.073234
-851.776589,95,744.823071
-455.666588,88,746.372966
-661.44574,79,747.711874
-888.247937,82,749.190765
-843.169443,80,750.554711
-519.492052,73,751.742588
-590.756285,75,752.950504
-818.537019,99,754.619385
-791.465269,94,756.139277
-458.428971,70,757.312196
-658.794851,75,758.578107
-733.635529,74,759.919015
-913.700703,103,761.628934
-796.93741,74,762.865804
-954.4045,89,764.319705
-839.048728,78,765.869601
-479.964035,87,767.80346
-334.658241,92,769.79633
-824.510333,75,771.665192
-934.789357,86,773.770041
-726.272473,95,776.45086
-833.797883,83,778.701697
-826.384359,78,780.340582
-283.954115,94,782.069465
-866.275696,79,783.428365
-587.412488,88,784.999257
-517.17099,96,786.705139
-762.453151,93,788.250029
-587.82313,102,790.142895
-724.476467,81,791.62179
-289.246838,86,793.103692
-213.196685,97,794.863569
-890.288788,85,796.321461
-714.956608,76,797.685366
-120.034318,96,799.347251
-852.961908,94,801.170156
-876.123035,82,802.828009
-927.953318,93,804.854868
-823.062743,78,806.354764
-765.675325,70,807.804659
-114.401126,110,809.99451
-240.391032,100,812.031382
-919.28407,84,813.679273
-800.044961,76,815.200178
-224.014465,86,817.016012
-837.164178,77,818.426917
-867.208653,80,819.809819
-531.363786,80,821.107727
-612.586193,116,823.181577
-773.131823,74,824.43449
-51.444812,101,826.17737
-87.437417,105,827.970242
-798.190568,74,829.176157
-684.959566,84,830.574098
-281.083494,111,832.468934
-702.808069,85,833.945824
-774.538298,81,835.307769
-809.313094,74,836.660633
-795.535609,79,837.983541
-859.652488,77,839.262453
-870.415176,85,840.701398
-92.51383,100,842.339237
-816.581729,80,843.745135
-238.496492,93,845.42802
-793.299447,77,846.727931
-691.197252,88,848.178827
-758.916592,81,849.488736
-772.573566,74,850.725653
-452.078985,92,852.370532
-69.298819,101,854.160412
-856.405653,89,855.671301
-847.126851,82,857.077203
-778.543166,78,858.375112
-393.806704,76,859.602063
-173.379769,100,861.335902
-714.81613,86,862.874798
-144.214741,97,864.462727
-133.902979,100,866.200562
-181.375456,97,867.834447
-150.196513,102,869.644326
-491.784926,90,871.281205
-728.524267,90,872.840135
-144.243409,97,874.467988
-172.252522,111,876.343851
-333.052033,176,879.342643
-228.987797,96,880.954527
-554.411973,188,884.112354
-266.959093,116,886.071175
-289.757118,114,888.062029
-410.036901,131,890.280874
-255.62033,94,891.853765
-226.537985,93,893.381661
-329.879396,132,895.564504
-454.442279,168,898.399309
-497.68009,195,901.687077
-214.147162,154,904.434925
-626.051003,201,907.956635
-560.334384,187,911.097416
-400.894124,143,913.494249
-234.296679,114,915.418113
-445.260546,177,918.90987
-301.330636,172,922.399628
-486.700634,73,923.679535
-375.498309,130,925.877378
-341.404713,178,928.84917
-229.326481,237,932.808892
-423.655571,249,937.040603
-237.939334,183,940.220372
-428.118251,234,944.04811
-237.998722,261,948.437799
-291.217361,266,952.955485
-417.091831,207,956.520233
-192.595027,259,961.937855
-599.794943,380,968.699378
-68.123992,107,970.602243
-257.527412,255,975.136965
-277.161924,256,979.487621
-333.009488,219,983.211359
-565.21942,368,989.411929
-231.398663,132,991.842758
-488.576461,109,993.742626
-165.965461,271,998.500289
-106.338942,388,1005.083828
-351.514796,254,1009.585541
-86.884657,1000,1026.756353
-297.051922,682,1038.323498
-266.410162,1000,1055.894312
-102.713482,1000,1074.575376
-268.384477,536,1085.010849
-249.020739,1000,1103.966937
-217.932668,1000,1123.125971
-169.012804,1000,1141.982028
-175.115673,1000,1162.671956
-202.362406,1000,1181.08103
-198.804232,1000,1199.480108
-195.590737,1000,1219.473103
-200.873326,1000,1238.869126
-237.588395,1000,1259.551092
-229.87465,1000,1279.551086
-126.222618,246,1283.766873
-243.475953,1000,1304.767818
-211.594466,1000,1325.142796
-160.414481,1000,1347.14069
-155.872366,1000,1366.887737
-169.977191,1000,1386.438721
-151.005989,1000,1405.501775
-188.871412,1000,1424.392851
-200.452444,1000,1444.211818
-123.0845,1000,1463.497849
-170.818499,1000,1482.229947
-289.559167,799,1497.398189
-154.815422,1000,1516.149244
-169.745245,1000,1534.983265
-180.100783,1000,1553.756355
-134.747702,1000,1575.898212
-113.2051,1000,1593.759311
-116.532798,1000,1613.159342
-129.31363,1000,1633.223332
-96.377358,1000,1654.141284
-110.190387,1000,1672.526359
-273.025333,939,1691.08143
-61.485616,1000,1711.203418
-85.809058,1000,1730.765432
-74.01891,1000,1750.406972
-68.661669,1000,1768.316071
-97.681648,368,1775.387756
-46.750396,349,1782.121381
-171.999696,694,1795.297755
-192.122394,470,1803.80429
-197.904266,471,1813.467808
-88.960739,1000,1832.276859
